Model,Size,Task,Image,Prompt,CLIP_Score
SD,512,coloring,001.SD_512_coloring_1.png,A red colored car,"0,2355"
SD,512,coloring,002.SD_512_coloring_2.png,A black colored car,"0,2396"
SD,512,coloring,003.SD_512_coloring_3.png,A pink colored car,"0,2596"
SD,512,coloring,004.SD_512_coloring_4.png,A navy blue colored car,"0,2230"
SD,512,coloring,005.SD_512_coloring_5.png,A red car and a white sheep,"0,2828"
SD,512,coloring,006.SD_512_coloring_6.png,A blue bird and a brown bear,"0,3353"
SD,512,coloring,007.SD_512_coloring_7.png,A green apple and a black backpack,"0,3147"
SD,512,coloring,008.SD_512_coloring_8.png,A green cup and a blue cell phone,"0,2053"
SD,512,coloring,009.SD_512_coloring_9.png,A red pencil in a green cup on a blue table,"0,2551"
SD,512,coloring,010.SD_512_coloring_10.png,An office with five desks and seven colorful chairs,"0,2604"
SD,512,coloring,011.SD_512_coloring_11.png,An orange bird scaring a blue scarecrow with a red pirate hat,"0,2960"
SD,512,coloring,012.SD_512_coloring_12.png,A photo of two pink football balls and three green basketball balls on a bench,"0,3005"
SD,512,counting,001.SD_512_counting_1.png,One tennis ball on the court,"0,2859"
SD,512,counting,002.SD_512_counting_2.png,Three people crossing  the street,"0,2448"
SD,512,counting,003.SD_512_counting_3.png,Two monkeys eating banana,"0,3011"
SD,512,counting,004.SD_512_counting_4.png,Bench in a park with two backpacks on it,"0,2679"
SD,512,counting,005.SD_512_counting_5.png,Nine children doing a circle dance around a Christmas tree,"0,3263"
SD,512,counting,006.SD_512_counting_6.png,An office desk with six laptops on it,"0,2763"
SD,512,counting,007.SD_512_counting_7.png,Person holding  four toy pyramids,"0,2857"
SD,512,counting,008.SD_512_counting_8.png,Five photograph prints are hanging to dry in a dark room,"0,2756"
SD,512,counting,009.SD_512_counting_9.png,Person carrying a stack of twelve books,"0,2564"
SD,512,counting,010.SD_512_counting_10.png,Two people juggling ten balls together,"0,3186"
