Model,Size,Task,Image,Prompt,CLIP_Score
SD,512,coloring,001.SD_512_coloring_1.png,A red colored car,"0,2267"
SD,512,coloring,002.SD_512_coloring_2.png,A black colored car,"0,1920"
SD,512,coloring,003.SD_512_coloring_3.png,A pink colored car,"0,2411"
SD,512,coloring,004.SD_512_coloring_4.png,A navy blue colored car,"0,2101"
SD,512,coloring,005.SD_512_coloring_5.png,A red car and a white sheep,"0,2588"
SD,512,coloring,006.SD_512_coloring_6.png,A blue bird and a brown bear,"0,2397"
SD,512,coloring,007.SD_512_coloring_7.png,A green apple and a black backpack,"0,2813"
SD,512,coloring,008.SD_512_coloring_8.png,A green cup and a blue cell phone,"0,1962"
SD,512,coloring,009.SD_512_coloring_9.png,A red pencil in a green cup on a blue table,"0,3117"
SD,512,coloring,010.SD_512_coloring_10.png,An office with five desks and seven colorful chairs,"0,1996"
SD,512,coloring,011.SD_512_coloring_11.png,An orange bird scaring a blue scarecrow with a red pirate hat,"0,2218"
SD,512,coloring,012.SD_512_coloring_12.png,A photo of two pink football balls and three green basketball balls on a bench,"0,2760"
SD,512,counting,001.SD_512_counting_1.png,One tennis ball on the court,"0,2509"
SD,512,counting,002.SD_512_counting_2.png,Three people crossing  the street,"0,2401"
SD,512,counting,003.SD_512_counting_3.png,Two monkeys eating banana,"0,2652"
SD,512,counting,004.SD_512_counting_4.png,Bench in a park with two backpacks on it,"0,1823"
SD,512,counting,005.SD_512_counting_5.png,Nine children doing a circle dance around a Christmas tree,"0,2978"
SD,512,counting,006.SD_512_counting_6.png,An office desk with six laptops on it,"0,2422"
SD,512,counting,007.SD_512_counting_7.png,Person holding  four toy pyramids,"0,2966"
SD,512,counting,008.SD_512_counting_8.png,Five photograph prints are hanging to dry in a dark room,"0,2289"
SD,512,counting,009.SD_512_counting_9.png,Person carrying a stack of twelve books,"0,2020"
SD,512,counting,010.SD_512_counting_10.png,Two people juggling ten balls together,"0,3069"
SD,512,counting,011.SD_512_counting_11.png,Birthday cake with exactly twenty candles on it,"0,2355"
SD,512,counting,012.SD_512_counting_12.png,Office room with fifteen chairs,"0,1893"
SD,512,conflicting,001.SD_512_conflicting_1.png,A zebra without strips,"0,2509"
SD,512,conflicting,002.SD_512_conflicting_2.png,A penguin in a city,"0,2029"
SD,512,conflicting,003.SD_512_conflicting_3.png,Rainbow colored Ferrari,"0,2107"
SD,512,conflicting,004.SD_512_conflicting_4.png,A giraffe kissing a monkey,"0,2358"
SD,512,conflicting,005.SD_512_conflicting_5.png,A panda inside a cup of tea,"0,2953"
SD,512,conflicting,006.SD_512_conflicting_6.png,A giraffe inside a car,"0,2857"
SD,512,conflicting,007.SD_512_conflicting_7.png,An ant under the sea,"0,2287"
SD,512,conflicting,008.SD_512_conflicting_8.png,A motorcycle inside an oven,"0,2183"
SD,512,conflicting,009.SD_512_conflicting_9.png,A polar bear on the desert,"0,2717"
SD,512,conflicting,010.SD_512_conflicting_10.png,A man walking on the ceiling,"0,2426"
SD,512,conflicting,011.SD_512_conflicting_11.png,A fish eating a pelican,"0,2667"
SD,512,conflicting,012.SD_512_conflicting_12.png,A horse riding  an astronaut in the forest,"0,3474"
SD,512,text,001.SD_512_text_1.png,A sign that says 'Hello',"0,2498"
SD,512,text,002.SD_512_text_2.png,A sign that says 'World',"0,1822"
SD,512,text,003.SD_512_text_3.png,A sign that says 'Hello World',"0,2149"
SD,512,text,004.SD_512_text_4.png,A sign that says 'World Hello',"0,1835"
SD,512,text,005.SD_512_text_5.png,A sign that says 'Speed limit 45',"0,1610"
SD,512,text,006.SD_512_text_6.png,A sign that says 'Do not pass !',"0,1884"
SD,512,text,007.SD_512_text_7.png,A sign that says 'No pedestrians !',"0,2222"
SD,512,text,008.SD_512_text_8.png,A sign that says 'No overtaking !',"0,1953"
SD,512,text,009.SD_512_text_9.png,A sign that says 'No Goods materials',"0,2427"
SD,512,text,010.SD_512_text_10.png,A sign that says 'No hazardous materials',"0,1459"
SD,512,text,011.SD_512_text_11.png,A sign that says 'You must not turn Right!',"0,2346"
SD,512,text,012.SD_512_text_12.png,A sign that says 'Maximum speed limit 80 km',"0,1572"
